127.0.0.1 - - [14/Apr/2025:17:32:07 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Apr/2025:17:32:08 +0900] "GET /NailArt/index.jsp HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [14/Apr/2025:17:32:08 +0900] "GET /NailArt/css/style.css HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [14/Apr/2025:17:32:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Apr/2025:17:32:37 +0900] "GET /NailArt/index.jsp HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [14/Apr/2025:17:32:37 +0900] "GET /NailArt/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2025:17:32:37 +0900] "GET /NailArt/index.jsp HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [14/Apr/2025:17:32:37 +0900] "GET /NailArt/css/style.css HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [14/Apr/2025:17:32:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Apr/2025:17:32:39 +0900] "GET /NailArt/index.jsp HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [14/Apr/2025:17:32:41 +0900] "GET /NailArt/index.jsp HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [14/Apr/2025:17:32:41 +0900] "GET /NailArt/css/style.css HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [14/Apr/2025:17:32:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Apr/2025:17:32:42 +0900] "GET /NailArt/index.jsp HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [14/Apr/2025:17:32:46 +0900] "GET /NailArt/index.jsp HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [14/Apr/2025:17:32:46 +0900] "GET /NailArt/css/style.css HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [14/Apr/2025:17:32:53 +0900] "GET /NailArt/index.jsp HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [14/Apr/2025:17:32:53 +0900] "GET /NailArt/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2025:17:32:55 +0900] "GET /NailArt/index.jsp HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [14/Apr/2025:17:32:55 +0900] "GET /NailArt/css/style.css HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [14/Apr/2025:17:32:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Apr/2025:17:32:56 +0900] "GET /NailArt/index.jsp HTTP/1.1" 200 592
